,Region,District,Garden,Room,Hall,Floor,Year,Size,Direction,Renovation,Price,RegionNum,DistrictNum,GardenNum,RoomNum,HallNum,DirectionNum,RenovationNum,PriceNum,YearNum,SizeNum,FloorNum
148,门头沟,大峪,金泰丽湾悦栖山,3,1,21,2016,121,南北,精装,565.0,14,78,2735,2,1,22,3,565.0,2016,121,21
149,门头沟,冯村,润景公馆,2,1,20,2011,99,西南,其他,478.0,14,36,1888,1,1,34,0,478.0,2011,99,20
150,门头沟,冯村,冯村信园小区,2,1,6,1997,72,南,精装,300.0,14,36,525,1,1,20,3,300.0,1997,72,6
151,门头沟,滨河西区,含晖苑,2,1,6,2005,90,南北,其他,375.0,14,143,833,1,1,22,0,375.0,2005,90,6
152,门头沟,门头沟其它,梧桐苑栖凤园,2,1,24,2013,83,南,简装,386.0,14,204,1717,1,1,20,2,386.0,2013,83,24
153,门头沟,大峪,西山环路3号院,3,2,8,2015,139,南北,精装,837.0,14,78,2530,2,2,22,3,837.0,2015,139,8
154,门头沟,门头沟其它,檀香府,3,2,6,2016,135,南北,毛坯,670.0,14,204,1743,2,2,22,1,670.0,2016,135,6
155,门头沟,门头沟其它,中门寺街6号院,2,1,6,2000,73,西北,简装,265.0,14,204,266,1,1,32,2,265.0,2000,73,6
156,门头沟,滨河西区,石龙北路20号院,2,1,6,1995,72,东西,精装,274.0,14,143,2147,1,1,13,3,274.0,1995,72,6
157,门头沟,大峪,新桥家园,1,1,24,2001,80,东南,其他,298.0,14,78,1480,0,1,4,0,298.0,2001,80,24
158,门头沟,滨河西区,倚山嘉园,1,1,13,2005,80,东,简装,330.0,14,143,440,0,1,0,2,330.0,2005,80,13
159,门头沟,门头沟其它,檀香府,3,1,6,2016,135,南北,毛坯,649.0,14,204,1743,2,1,22,1,649.0,2016,135,6
160,门头沟,滨河西区,含晖苑,2,1,6,2007,98,南北,精装,400.0,14,143,833,1,1,22,3,400.0,2007,98,6
161,门头沟,滨河西区,含晖苑,3,1,6,2007,135,南北,其他,569.0,14,143,833,2,1,22,0,569.0,2007,135,6
162,门头沟,门头沟其它,梧桐苑清露园,3,1,26,2013,89,东南,精装,439.0,14,204,1718,2,1,4,3,439.0,2013,89,26
163,门头沟,滨河西区,倚山嘉园,2,2,14,2005,99,南北,简装,390.0,14,143,440,1,2,22,2,390.0,2005,99,14
164,门头沟,门头沟其它,梧桐苑栖凤园,2,1,27,2013,85,南,简装,393.0,14,204,1717,1,1,20,2,393.0,2013,85,27
165,门头沟,门头沟其它,中门花园良实家园,2,1,6,2000,93,南北,精装,280.0,14,204,267,1,1,22,3,280.0,2000,93,6
166,门头沟,城子,阁外山水,3,1,6,2003,119,南北,精装,400.0,14,74,2845,2,1,22,3,400.0,2003,119,6
167,门头沟,城子,绿岛家园,2,1,12,2011,89,西南,精装,364.0,14,74,2272,1,1,34,3,364.0,2011,89,12
168,门头沟,门头沟其它,惠泽家园,2,1,6,2010,84,南北,简装,285.0,14,204,1378,1,1,22,2,285.0,2010,84,6
169,门头沟,大峪,增产路大街42号院,2,1,6,1997,79,南北,简装,290.0,14,78,941,1,1,22,2,290.0,1997,79,6
170,门头沟,城子,城子二斜井,2,1,6,1980,53,南北,毛坯,188.0,14,74,932,1,1,22,1,188.0,1980,53,6
171,门头沟,滨河西区,临镜苑,2,1,16,2008,83,南,简装,360.0,14,143,274,1,1,20,2,360.0,2008,83,16
172,门头沟,滨河西区,含晖苑,2,1,6,2007,98,南北,精装,413.0,14,143,833,1,1,22,3,413.0,2007,98,6
173,门头沟,门头沟其它,惠泽家园,2,1,6,2010,86,南北,其他,303.0,14,204,1378,1,1,22,0,303.0,2010,86,6
174,门头沟,冯村,丽景长安,4,2,11,2012,144,南北,精装,720.0,14,36,286,3,2,22,3,720.0,2012,144,11
175,门头沟,门头沟其它,中门寺街67号院,2,1,4,2003,88,南北,简装,290.0,14,204,265,1,1,22,2,290.0,2003,88,4
