index,Region,District,Garden,Layout,Floor,Year,Size,Direction,Renovation,Price
808,7,203,1021,14,5,47,89,22,3,368.0
809,7,172,1558,7,5,34,45,22,2,215.0
810,7,203,2842,7,5,41,59,22,2,270.0
811,7,203,1320,14,7,54,69,22,3,419.0
812,7,203,2830,7,20,54,67,20,3,379.0
813,7,203,2831,14,8,53,73,6,3,465.0
814,7,172,2549,2,5,36,17,22,2,183.0
815,7,203,547,21,3,48,231,22,3,1000.0
816,7,203,2840,14,14,54,67,22,1,360.0
817,7,203,2840,14,14,54,66,22,0,370.0
818,7,203,757,7,5,52,52,22,2,285.0
819,7,172,1886,8,13,47,101,26,2,338.0
820,7,205,1016,7,19,53,67,22,3,275.0
821,7,203,359,14,9,57,75,22,3,420.0
822,7,203,2834,7,13,57,65,22,3,400.0
823,7,172,2403,15,4,43,85,13,2,325.0
824,7,115,655,7,5,45,74,22,2,240.0
825,7,203,548,2,14,49,36,20,3,228.0
826,7,172,1538,7,5,38,49,22,2,210.0
827,7,205,2269,15,3,47,98,22,2,410.0
828,7,172,2063,7,14,52,67,20,3,320.0
829,7,205,2270,22,10,51,171,22,1,650.0
830,7,172,496,7,5,43,52,22,3,270.0
831,7,203,548,7,13,51,70,34,3,324.0
832,7,172,2408,15,5,47,121,34,2,320.0
833,7,172,875,15,14,48,97,10,2,260.0
834,7,172,2011,7,5,46,63,9,3,270.0
835,7,203,2832,14,8,54,97,22,3,600.0
836,7,203,548,8,10,51,65,26,3,339.0
837,7,203,2973,15,8,55,78,22,2,445.0
838,7,203,2952,7,16,54,53,22,1,320.0
839,7,205,577,14,5,37,54,22,2,230.0
840,7,172,619,15,5,44,126,22,0,450.0
841,7,203,2973,7,19,55,61,20,3,340.0
842,7,205,306,7,6,55,58,22,3,275.0
843,7,172,2550,7,5,37,57,22,2,277.0
844,7,205,1977,22,4,45,141,13,2,380.0
845,7,172,2063,7,14,51,68,20,3,312.0
846,7,203,2258,7,11,53,74,22,3,350.0
847,7,203,1021,7,5,45,63,22,0,290.0
848,7,203,2156,14,14,49,101,22,2,400.0
849,7,203,2831,7,27,53,65,22,3,392.0
850,7,172,619,7,5,44,65,22,2,280.0
851,7,172,619,7,5,44,68,22,3,230.0
852,7,203,2952,15,17,54,66,22,3,375.0
853,7,205,2265,15,3,47,112,22,2,399.0
854,7,203,2156,7,10,48,70,22,2,330.0
855,7,172,1499,14,14,57,85,22,3,450.0
856,7,203,2155,2,5,43,47,22,3,275.0
857,7,203,548,7,10,51,64,24,3,330.0
858,7,172,618,23,5,42,167,22,3,450.0
859,7,203,548,22,11,51,118,6,3,470.0
860,7,203,329,7,20,58,54,20,3,345.0
861,7,172,405,7,5,47,79,22,2,275.0
862,7,205,2260,8,4,47,67,22,3,298.0
863,7,172,2710,29,6,56,133,22,1,635.0
864,7,203,2836,14,17,56,77,36,3,490.0
865,7,203,2831,7,27,53,67,20,3,400.0
866,7,172,2408,7,5,45,70,22,2,303.0
867,7,203,2835,7,17,56,71,22,3,405.0
868,7,203,2839,14,19,54,66,22,3,400.0
869,7,203,2156,7,15,49,70,2,2,310.0
870,7,172,2063,7,14,49,69,22,2,315.0
871,7,203,548,7,9,51,53,22,3,279.0
872,7,205,2263,8,4,51,78,22,3,315.0
873,7,203,548,2,13,51,35,32,3,236.0
874,7,205,2265,8,4,47,88,22,3,299.0
875,7,172,617,21,10,48,141,22,2,480.0
876,7,203,550,14,10,53,69,22,2,355.0
877,7,203,2370,14,8,54,67,22,3,398.0
878,7,172,2063,7,14,52,69,22,3,318.0
879,7,203,548,7,14,51,61,22,3,298.0
880,7,203,548,7,14,51,65,0,3,302.0
881,7,203,2157,7,5,46,65,22,3,300.0
882,7,205,1016,7,17,53,48,32,2,229.0
883,7,203,2833,14,8,54,74,22,3,483.0
884,7,172,617,8,5,47,86,22,2,263.0
885,7,203,756,14,9,52,70,22,3,380.0
886,7,172,619,15,5,44,97,22,2,394.0
887,7,172,394,7,4,47,19,18,2,208.0
888,7,203,757,14,5,52,69,22,3,365.0
889,7,203,548,22,10,51,113,36,3,465.0
890,7,203,548,7,10,51,53,22,3,285.0
891,7,203,2831,14,8,53,71,22,3,480.0
892,7,203,2156,7,15,49,96,34,3,350.0
893,7,172,2490,7,5,39,49,22,3,240.0
894,7,172,2491,2,5,40,43,13,3,215.0
895,7,172,2063,2,8,51,45,22,3,258.0
896,7,205,2264,8,4,47,68,22,2,292.0
897,7,203,547,29,3,49,244,22,3,828.0
898,7,203,1300,7,15,55,69,6,3,380.0
899,7,203,2155,7,5,43,68,22,3,295.0
900,7,115,655,7,5,47,75,22,2,225.0
901,7,203,329,7,20,58,54,20,3,345.0
902,15,14,393,33,12,56,164,4,0,850.0
903,15,211,1782,36,1,51,265,22,0,1350.0
904,15,62,64,14,2,37,88,22,3,530.0
905,15,62,574,18,7,54,63,0,1,350.0
906,15,62,138,11,12,56,36,0,0,180.0
907,15,211,143,11,8,55,29,0,2,98.0
908,15,62,138,11,12,56,38,20,2,180.0
909,15,215,2989,5,12,56,11,18,0,60.0
910,15,62,574,19,7,54,37,18,3,210.0
911,15,14,393,11,11,56,43,18,3,280.0
912,15,14,393,25,11,56,43,18,3,260.0
913,15,14,393,11,12,56,45,18,3,230.0
914,15,62,260,12,8,57,35,18,3,260.0
915,15,215,2989,11,13,54,38,0,3,120.0
916,15,62,2430,22,3,56,161,22,3,1450.0
917,15,215,1161,30,2,51,330,22,0,1850.0
918,15,211,3089,22,3,56,273,22,0,830.0
919,15,215,1161,30,2,51,269,22,0,1200.0
920,15,211,2926,8,4,51,70,22,3,450.0
921,15,62,138,11,14,56,35,0,2,150.0
922,15,211,143,5,12,55,18,0,0,80.0
923,15,14,393,40,11,56,282,22,1,1300.0
924,15,62,574,11,7,55,12,30,2,160.0
925,15,62,574,12,7,55,32,0,0,220.0
926,15,14,393,18,12,55,75,26,0,350.0
927,15,62,574,12,7,54,31,0,3,220.0
928,15,62,138,11,12,56,16,30,3,95.0
929,15,62,574,26,7,55,37,20,3,260.0
930,15,14,393,25,12,55,78,32,3,380.0
931,15,14,2594,36,2,55,316,22,0,1900.0
932,15,14,2494,30,1,37,285,22,3,3300.0
933,15,14,3091,29,1,50,235,22,3,2550.0
934,15,14,2432,22,2,45,278,13,3,1700.0
935,15,62,574,12,7,55,28,30,0,210.0
936,15,14,393,18,12,55,71,34,3,320.0
937,15,211,15,23,1,54,331,10,0,2600.0
938,15,211,143,11,12,55,46,4,0,136.0
939,15,62,2459,2,10,48,5,30,2,170.0
940,15,84,75,22,2,57,332,22,1,2200.0
941,15,62,1820,11,6,55,24,30,3,120.0
942,15,211,1973,11,11,54,38,20,3,140.0
943,15,211,278,14,5,47,89,22,2,335.0
944,15,215,2989,11,13,53,38,0,3,120.0
945,15,211,143,5,9,56,18,4,2,75.0
946,15,62,2189,7,7,51,51,14,0,357.0
947,15,62,574,19,7,55,37,18,0,240.0
948,15,62,574,26,7,55,37,18,3,210.0
949,15,62,1593,26,7,52,49,4,0,348.0
950,15,211,1973,11,11,54,45,0,3,135.0
951,15,211,15,23,1,54,313,10,3,2600.0
952,15,62,574,19,7,55,36,20,3,240.0
953,15,211,579,26,7,52,33,24,0,160.0
954,15,14,393,11,12,55,42,18,3,230.0
955,15,211,3089,22,3,56,273,22,0,830.0
956,15,215,646,22,17,58,183,22,1,735.0
957,15,62,2430,37,2,56,294,6,1,1950.0
958,15,62,2869,23,2,49,304,22,3,1800.0
959,15,211,1785,8,10,54,80,22,3,270.0
960,15,62,2897,15,5,48,108,22,3,480.0
961,15,62,574,19,7,55,37,18,3,228.0
962,15,14,2594,22,2,52,248,22,0,1550.0
963,15,211,3089,22,3,56,288,6,1,1000.0
964,15,212,1754,22,1,35,181,22,2,780.0
965,15,211,580,7,11,54,66,22,3,340.0
966,15,14,390,15,6,48,145,26,2,1200.0
967,15,215,2249,22,1,51,311,22,3,1300.0
968,15,14,2594,23,2,52,249,22,3,1600.0
969,15,62,780,22,2,41,131,22,3,730.0
970,15,211,2926,8,4,51,70,22,3,420.0
971,15,215,3022,15,5,54,161,22,1,860.0
972,15,62,574,5,7,54,16,30,2,160.0
973,15,62,138,11,14,56,35,13,3,160.0
974,15,62,138,5,12,56,16,37,3,90.0
975,15,211,2926,2,9,51,26,20,2,220.0
976,15,211,2319,18,12,55,41,20,3,155.0
977,15,62,138,5,12,56,16,30,3,88.0
978,15,62,138,17,12,56,54,4,2,238.0
979,15,211,1973,18,11,54,82,13,3,225.0
980,15,211,1785,7,10,54,79,22,3,300.0
981,15,211,579,11,7,53,24,0,2,125.0
982,15,215,2989,5,13,53,11,30,2,66.0
983,15,62,138,5,12,56,16,30,3,110.0
984,15,14,393,11,12,55,48,30,3,230.0
985,15,62,138,11,12,56,35,0,2,140.0
986,15,215,1161,46,2,52,357,10,1,2500.0
987,15,211,178,2,3,45,59,0,0,245.0
988,15,14,2594,37,2,52,265,22,0,1650.0
989,15,211,1603,24,2,43,278,22,0,800.0
990,15,14,295,22,3,45,246,13,3,1650.0
991,15,215,1161,22,2,51,271,22,3,1158.0
992,15,211,3089,15,3,56,207,22,1,900.0
993,15,211,3089,29,3,56,197,22,3,880.0
994,15,14,393,18,11,56,56,2,0,280.0
995,15,14,1955,23,2,52,343,10,1,1900.0
996,15,14,819,15,2,41,133,34,3,1250.0
997,15,212,147,8,5,35,87,22,2,404.0
998,15,14,819,22,2,39,133,22,0,1300.0
999,15,62,138,5,12,56,18,2,0,120.0
1000,15,62,138,11,12,56,38,20,3,170.0
1001,15,14,2594,22,2,52,245,22,3,1430.0
1002,15,62,138,11,12,56,16,2,0,96.0
1003,15,14,285,45,1,42,347,10,2,4000.0
1004,15,62,2459,22,11,47,165,22,2,685.0
1005,15,62,84,7,5,49,75,22,0,430.0
1006,15,62,260,22,13,56,274,26,3,2100.0
1007,15,211,1781,22,2,46,147,20,3,650.0
1008,15,211,178,23,1,46,253,10,3,1850.0
1009,15,14,3095,23,5,53,209,22,3,1649.0
1010,15,62,2869,22,6,51,187,22,3,1230.0
1011,15,14,3091,29,1,50,200,22,3,2300.0
